analysis_group,mechanism_cell,outcome_family,harmonized_outcome_unit,n_effects,n_studies,n_with_harmonized_effect,n_with_harmonized_se,n_primary_estimates,n_unresolved_needs_pi,n_pi_approved_assumed,n_negative,n_positive,n_zero,effect_min,effect_max,n_with_oriented_effect,n_oriented_negative,n_oriented_positive,n_oriented_zero,oriented_effect_min,oriented_effect_max,screening_fixed_effect,screening_fixed_effect_se,oriented_screening_fixed_effect,oriented_screening_fixed_effect_se,recommended_synthesis,recommended_pooling_rule,recommended_pooling_group_key,recommended_pooled_effect_more_oas,recommended_pooled_se_more_oas,synthesis_decision,primary_pooling_blocker,study_ids
cell_a__birth_probability__probability_of_birth,A,birth_probability,probability_of_birth,5,5,5,5,4,0,5,3,2,0,-0.173,0.04,5,4,1,0,-0.173,0.04,-0.000221,0.002037,-0.006954,0.002037,do_not_pool_mixed_treatment_scales,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,screening_only_not_pooled,treatment_scale_followup_target_setting,billari_galasso_2009_italy_pension_reforms;danzer_zyska_2023_brazil_pensions;han_tao_wang_zhang_2025_china_ltci;rossi_godard_2022_namibia_pensions;shen_zheng_yang_2020_china_nrps
cell_a__child_woman_ratio__log_child_woman_ratio,A,child_woman_ratio,log_child_woman_ratio,1,1,1,1,1,0,1,1,0,0,-0.04,-0.04,1,1,0,0,-0.04,-0.04,,,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,structured_narrative_only,aggregate_or_historical_unit,basso_bodenhorn_cuberes_2014_us_financial_development
cell_a__completed_fertility__births_per_woman,A,completed_fertility,births_per_woman,5,5,5,4,1,0,5,3,2,0,-4.58,0.098,4,4,0,0,-4.58,-0.0529,0.079197,0.013761,-0.067672,0.026971,do_not_pool_mixed_treatment_scales,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,screening_only_not_pooled,treatment_scale_followup_target_setting,billari_galasso_2009_italy_pension_reforms;danzer_zyska_2023_brazil_pensions;galofre_vila_2023_us_baby_boom;rossi_godard_2022_namibia_pensions;shen_zheng_yang_2020_china_nrps
cell_a__crude_birth_rate__marital_births_per_1000,A,crude_birth_rate,marital_births_per_1000,1,1,1,1,1,0,1,1,0,0,-0.453,-0.453,1,1,0,0,-0.453,-0.453,,,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,structured_narrative_only,aggregate_or_historical_unit,fenge_scheubel_2017_germany_pensions
cell_a__intentions__expected_children,A,intentions,,1,1,0,0,0,0,1,0,0,0,,,0,0,0,0,,,,,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,mechanism_or_unsupported_outcome_only,unsupported_outcome_family_or_unit,han_tao_wang_zhang_2025_china_ltci
cell_a__other__children_under_age_5_count,A,other,,1,1,0,0,1,0,1,0,0,0,,,0,0,0,0,,,,,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,mechanism_or_unsupported_outcome_only,unsupported_outcome_family_or_unit,galofre_vila_2023_us_baby_boom
cell_a__other__log_fertility_count_dd,A,other,,1,1,0,0,1,0,1,0,0,0,,,0,0,0,0,,,,,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,mechanism_or_unsupported_outcome_only,unsupported_outcome_family_or_unit,guinnane_streb_2021_prussia_social_security
cell_b__other__probability_point,B,other,,1,1,0,0,1,0,1,0,0,0,,,0,0,0,0,,,,,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,mechanism_or_unsupported_outcome_only,unsupported_outcome_family_or_unit,ci_2024_children_insurance
cell_c__birth_probability__probability_of_birth,C,birth_probability,probability_of_birth,3,2,3,3,2,0,3,0,3,0,0.046,0.166,0,0,0,0,,,0.051925,0.007763,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,screening_only_not_pooled,cell_c_separate_grandparent_childcare_track,akyol_atalay_2025_australia_grandmothers_pension;eibich_siedler_2020_germany_parental_retirement
cell_c__completed_fertility__births_per_woman,C,completed_fertility,births_per_woman,5,2,5,5,1,0,5,4,1,0,-0.266,0.067,0,0,0,0,,,-0.021596,0.009385,,,do_not_pool_too_few_usable_effects,"Pool coefficient estimates only when mechanism cell, outcome family, harmonized unit, treatment scale, and usable oriented standard errors match across at least three independent studies.",,,,screening_only_not_pooled,cell_c_separate_grandparent_childcare_track,akyol_atalay_2025_australia_grandmothers_pension;ilciukas_2023_netherlands_parental_retirement
