hypothesis_slug,evidence_stream,study_id,source_retrieval_id,paper_id,doi,doi_url,title,authors,year,venue,source_outcome_family,source_estimand_cell,route_basis,shared_across_workstreams,pdf_status
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-001,CLS-007,W2169373049,10.3386/w10911,https://doi.org/10.3386/w10911,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,Sandra E. Black; Paul Devereaux; Kjell G. Salvanes,2004,National Bureau of Economic Research,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-002,CLS-008,W2028140859,10.1007/s00148-010-0334-8,https://doi.org/10.1007/s00148-010-0334-8,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,Mary A. Silles,2010,Journal of Population Economics,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-003,CLS-009,W2186769068,,,Compulsory Education and Teenage Motherhood,Tanya Wilson,2017,Stirling Online Research Repository (University of Stirling),FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-004,CLS-010,W2108204833,10.1086/700076,https://doi.org/10.1086/700076,The Effects of Compulsory-Schooling Laws on Teenage Marriage and Births in Turkey,Murat G. Kïrdar; Meltem Dayıoğlu; İsmet Koç,2018,Journal of Human Capital,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-005,CLS-011,W2154210580,10.1016/j.jhealeco.2019.102268,https://doi.org/10.1016/j.jhealeco.2019.102268,Does education reduce teen fertility? Evidence from compulsory schooling laws,Philip DeCicca; Harry Krashinsky,2019,Journal of Health Economics,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-006,CLS-012,W3006219298,10.1007/s00148-020-00771-9,https://doi.org/10.1007/s00148-020-00771-9,Books or babies? The incapacitation effect of schooling on minority women,Anna Adamecz-Völgyi; Ágota Scharle,2020,Journal of Population Economics,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-007,CLS-013,W3212471012,10.1016/j.jhealeco.2021.102552,https://doi.org/10.1016/j.jhealeco.2021.102552,Maternal education and child health: Causal evidence from Denmark,Jacob Nielsen Arendt; Mads Lybech Christensen; Anders Hjorth‐Trolle,2021,Journal of Health Economics,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-008,CLS-014,W4385628385,10.1016/j.econedurev.2023.102440,https://doi.org/10.1016/j.econedurev.2023.102440,"Women's education, marriage, and fertility outcomes: Evidence from Thailand's compulsory schooling law",Pasita Chaijaroen; Pallavi Panda,2023,Economics of Education Review,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-009,CLS-015,W4412362654,10.1111/rode.70016,https://doi.org/10.1111/rode.70016,Do Compulsory Schooling Laws Affect Fertility Behaviors and Marriages? Evidence From India,Sandipa Bhattacharjee,2025,Review of Development Economics,FERTILITY_TEMPO,TEMPO,Tempo record in the RA-approved focused handoff.,NO,NOT_RETRIEVED
tempo-effects-birth-postponement,COMPULSORY_SCHOOLING_TEENAGE_BIRTHS,CETB-010,CLS-003,W2185731654,10.3386/w24332,https://doi.org/10.3386/w24332,The Impact of Education on Family Formation: Quasi-Experimental Evidence from the UK,Michael Geruso; Heather Royer,2018,National Bureau of Economic Research,FERTILITY_QUANTUM,PRIMARY_CS_QUANTUM,Abstract explicitly reports teen fertility and completed fertility.,YES,NOT_RETRIEVED
